rxns	TCGA-44-6148-11	TCGA-50-5939-11	TCGA-49-6761-11	TCGA-55-6971-11	TCGA-91-6835-11	TCGA-38-4632-11	TCGA-49-6745-11	TCGA-44-2668-11	TCGA-91-6831-11	TCGA-55-6982-11
10FTHF5GLUtl	0	0	0	0	0	0	0	0	0	0
10FTHF5GLUtm	0	0	0	0	0	0	0	0	0	0
10FTHF6GLUtl	0	0	0	0	0	0	0	0	0	0
10FTHF6GLUtm	0	0	0	0	0	0	0	0	0	0
10FTHF7GLUtl	1	1	1	1	1	1	1	1	1	1
10FTHF7GLUtm	1	1	1	1	1	1	1	1	1	1
10FTHFtl	1	1	1	1	1	1	1	1	1	1
10FTHFtm	1	1	1	1	1	1	1	1	1	1
11DOCRTSLtm	0	0	0	0	1	0	0	0	0	0
11DOCRTSLtr	0	0	0	0	1	0	0	0	0	0
11DOCRTSTRNtm	0	0	0	0	1	0	0	0	0	0
11DOCRTSTRNtr	0	0	0	0	1	0	0	0	0	0
13DAMPPOX	1	1	1	1	1	1	1	1	1	1
1MNCAMti	1	1	1	1	1	1	1	1	1	1
1PPDCRp	1	1	1	1	1	1	1	0	1	1
24_25DHVITD2t	0	0	0	0	0	0	0	0	0	0
24_25DHVITD2tm	0	0	0	0	0	0	0	0	0	0
24_25DHVITD3t	0	0	0	0	0	0	0	0	0	0
24_25DHVITD3tm	0	0	0	0	0	0	0	0	0	0
24_25VITD2Hm	0	0	0	0	0	0	0	0	0	0
24_25VITD3Hm	0	0	0	0	0	0	0	0	0	0
24NPHte	0	0	0	0	0	0	0	0	0	0
25HVITD2t	0	0	0	0	0	0	0	0	0	0
25HVITD2tin	0	0	0	0	0	0	0	0	0	0
25HVITD2tin_m	0	0	0	0	0	0	0	0	0	0
25HVITD2tm	0	0	0	0	0	0	0	0	0	0
25HVITD3t	1	1	1	1	1	1	1	1	1	1
25HVITD3tin	0	0	0	0	0	0	0	0	0	0
25HVITD3tin_m	0	0	0	0	0	0	0	0	0	0
25HVITD3tm	1	1	1	1	1	1	1	1	1	1
2AMACHYD	0	0	0	0	0	1	0	0	0	0
2AMACSULT	0	1	1	1	1	0	0	1	1	1
2AMADPTm	0	0	0	0	0	0	0	0	0	0
2DR1PP	0	0	0	0	0	0	0	0	0	1
2HBO	1	1	1	1	1	1	1	1	1	1
2HBt2	1	1	1	1	1	1	1	1	1	1
2HCO3_NAt	1	1	1	1	1	1	1	1	1	1
2MCITt	0	0	0	0	0	0	0	0	0	0
2OXOADOXm	1	1	1	1	1	1	1	1	1	1
2OXOADPTm	1	1	1	1	1	1	1	1	1	1
34DHOXPEGOX	1	1	1	1	1	1	1	1	1	1
34DHOXPEGt	1	1	1	1	1	1	1	1	1	1
34DHPHEt	0	1	1	1	1	1	0	1	1	1
34DHPLACOX	1	1	1	1	1	1	1	1	1	1
34DHPLACOX_NADP_	1	1	1	1	1	1	1	1	1	1
34DHXMANDACOX	1	1	1	1	1	1	1	1	1	1
34DHXMANDACOX_NADP_	1	1	1	1	1	1	1	1	1	1
34HPLFM	1	1	1	1	1	1	1	1	1	1
34HPPOR	1	1	1	1	1	1	1	1	1	1
35CGMPtn	1	1	1	1	1	1	1	1	1	1
3AIBt	1	1	1	1	1	1	1	1	1	1
3AIBTm	1	1	1	1	1	1	1	1	1	1
3AIBtm	1	1	1	1	1	1	1	1	1	1
3DPHBH1	1	0	1	0	1	0	1	1	0	1
3DPHBH2	0	1	0	1	0	1	0	0	1	0
3DSPHR	1	1	1	1	1	1	1	1	1	1
3HAO	1	1	1	1	1	1	1	1	1	1
3HBCDm	1	1	1	1	1	1	1	1	1	1
3HBCOAHLm	1	1	1	1	1	1	1	1	1	1
3HKYNAKGAT	1	1	1	1	1	1	1	1	1	1
3HLYTCL	1	0	0	0	0	0	0	0	0	0
3MLDAt	1	1	1	1	1	1	1	1	1	1
3MOBt2im	1	1	1	1	1	1	1	1	1	1
3MOPt2im	1	1	1	1	1	1	1	1	1	1
3MOX4HOXPGALDOX	1	1	1	1	1	1	1	1	1	1
3MOX4HOXPGALDOX_NADP_	1	1	1	1	1	1	1	1	1	1
3SALAASPm	1	1	1	1	1	1	1	1	1	1
3SALACBOXL	1	1	1	1	1	0	0	1	1	1
3SALAOX	1	0	0	0	0	1	1	0	0	0
3SALATAi	1	1	1	1	1	1	1	1	1	1
3SALATAim	1	1	1	1	1	1	1	1	1	1
3SPYRSP	1	1	1	1	1	1	1	1	1	1
3SPYRSPm	1	1	1	1	1	1	1	1	1	1
41R1H2MAE12BOOX	1	1	1	1	1	1	1	1	1	1
41R2A1H12BOOX	1	1	1	1	1	1	1	1	1	1
